raw_reviews,vader_score,vader_label
Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible,-0.9977,negative
"Great music service, the audio is high quality and the app is easy to use. Also very quick and friendly support.",0.9211,positive
Please ignore previous negative rating. This app is super great. I give it five stars+,0.6249,positive
"This pop-up ""Get the best Spotify experience on Android 12"" is too annoying. Please let's get rid of this.",0.5859,positive
Really buggy and terrible to use as of recently,-0.5209,negative
Dear Spotify why do I get songs that I didn't put on my playlist??? And why do we have shuffle play?,0.7149,positive
The player controls sometimes disappear for no reason. App restart forgets what I was playing but fixes the issue.,-0.1655,negative
I love the selection and the lyrics are provided with the song you're listening to!,0.6696,positive
"Still extremely slow when changing storage to external sd card.. I'm convinced this is done on purpose, spotify knows of this issue and has done NOTHING to solve it! Over time I have changed sd cards, each being faster in read, write speeds(all samsung brand). And please add ""don't like song"" so it will never appear again in my searches or playlists.",0.3798,positive
"It's a great app and the best mp3 music app I have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful I recommend it. it's just the best.",0.9342,positive
"I'm deleting this app, for the following reasons: This app now has a failing business model. Whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. Closed the app during ad number 6, and I'm more patient than most. If those are the only ways you can profit: you've already peaked. All that's left is your decline.",0.5226,positive
"Love Spotify, and usually this app is the best, but as others have stated; the control buttons disappear and podcasts stop for no reason, which is only fixed by deleting and reinstalling the app. First world problems for sure, but highly annoying nonetheless, especially when paying for prime.",-0.8095,negative
Can't play Spotify when on WiFi,-0.2584,negative
"I had amazon premium music family package and it was good. Everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. We now have spotify premium family and the alexa integration is poor. It just doesn't like spotify. It just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. Why isn't the integration better?",0.6604,positive
Worst app always says I'm offline and never showed any song or podcast,-0.6808,negative
i hav any music that i like it is super🙌,0.7506,positive
"Improve the IA to recommend songs and to find similar songs and it'll be the best music app, YouTube is better on that, on everything else, Spotify is the king!",0.9151,positive
"Android user - there are loads of glitches with this app... player bar disappears, shuffle button missing....sort it out please",-0.0258,neutral
I can't listen to my DOWNLOADED playlist while I'm offline. So what's the point of this feature? Disappointed..,-0.5574,negative
It always crashing down; unable to play and just stop working everytime I use it,0.0516,positive
I know ads are the cost to free use And yes thats all right But 3 ads straight back to back Like for 1 and a hlaf minutes sometimes Don't you think that's a little much ? And even the volume increases just for the Ads.,0.8225,positive
"This will always be my favorite platform to listen to music on. I don't like to subscribe to alot of things, but this one is a must have.",0.1141,positive
His voice is so sweet and hearable,0.5949,positive
"I logged out on my acc but when I tried to open it to log in, it won't open.. all I see is the logo",0,neutral
"usually I love the app, but I'm having the same problems everyone else is reporting. Random pauses, stops playing and doesn't restart, and currently I can't view the song or podcast I'm currently playing so I can't pause or skip back and forth. It's fairly unusable at this stage which isn't acceptable for a paid service.",-0.2247,negative
An amazing music experience,0.5859,positive
Like that is has Everything I like to listen to. And with no commercial even better. Even the more like this are songs I've been wanting and not knowing the name brought some out! Thanks Spotify!,0.8996,positive
JAMMIN' up in HYUH! Old school hardcore and thrash I haven't heard in years. Return to my youth? YES PLEASE !,0.7935,positive
cant listen to downloaded stuff when offline,-0.128,negative
Why this app show no internet available when both phone and wifi data is working. I already Fred up with adds now this happens all the time i want to search for song.,-0.2263,negative
Everything is perfect... Just Add Light Theme,0.5719,positive
No option to delete a song on an album. No option to download one track on an album and no option to shuffle all your music library without creating a playlist or liking ALL your music.,-0.5842,negative
The best music app ever I have seen,0.6369,positive
"WOW!! ....all of a sudden my login doesn't work. Even though I'm 100% positive it is correct. This morning my app asks me to login? Why? This hasn't happened before, so obviously you are having some problems. Just found an email in my account telling me to change my password because of 'suspicious behaviour'.... yeah because logging into Spotify on my Xbox is suspicious!? Thanks for the stress this morning, didn't need that. I won't be renewing....my way of teaching you a lesson.",0.731,positive
Am unable to use on my ph .....it gets downloaded but unable to log in,0,neutral
Plz remove adds as because ther are continuously 2 to 3 adds at list remove 2 adds and give 1 adds,0.0772,positive
"Liked songs play offline , helps with signal problems",0.5574,positive
Sometimes I try and listen to a Playlist and it will play the same first song and I try to go to a different one and it goes back to the same first one... little weird.,0.2484,positive
Good app for listening music..,0.4404,positive
"No commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",-0.3637,negative
Wide range of songs collection,0,neutral
"What's the deal here? Compared to the desktop version, this is inferior to it! Why is the ability to play any songs so bare or if not, barely free? Is there more that need to be said about this? I think I made my point clear enough!",0.5005,positive
Spotify is awesome! I love having any obscure artist I can think of at my fingertips as well as easy access to newer things! UPDATE: Lost a star for constantly asking for a review I've already done.,0.9115,positive
Best app to stream music!,0.6696,positive
"My account was glitching so I logged out to try and fix it but now it won't let me log back in, it only shows the logo but never the sign in screen",0,neutral
"Everything I go to open the app in the last week, there's no play bar, and now when I go to open it, it just shuts right back down.",-0.2584,negative
Lost download button. Can't download playlists.,-0.3182,negative
Love this app. The style of music selection is more specific.,0.6369,positive
Pretty good apps for better quality musics,0.8402,positive
the videoke feature doesn't show in my device until now,0,neutral
love most of the features in the app but one thing is a bit expensive at each month subcription for $9.90,0.3818,positive
Podcasts becoming a nightmare. Trying to get rid of podcasts on this app is ridiculous. Stupid things are all over the home page. You can click not interested till you're blue in the face and I'll just keep throwing up more spam casts.,-0.8736,negative
Best birthday present I have ever received from my baby brother! I listen to something at least everyday. So happy of the selection of Christian artists and music. Love finding new artists. Let just listening to great podcasts. Thank you so much for such a wonderful app!,0.9777,positive
The only downside is they rotate songs in and out so one month you can listen to that great song next month maybe not.,0.4767,positive
The sound quality is really good and I can listen to my favourite songs anytime and anywhere without any disturbance. That's really good experience 👍 I loved this app alot. Keep providing us the best service 👍👍,0.9491,positive
Keeps cutting out and not showing what song is playing,0.0772,positive
Very unuser friendly as compared to ipad and pc,0.539,positive
As a paying customer there is nothing I can say about Spotify. It is perfecto.,0.3182,positive
So much adds like I get 6 adds before I start a song and you need premium just play a song itself.,0.6326,positive
"Exceptional application for online songs. I loved the option of merging the app with inter music player of samsung. Overall, application works flows less.",0.5994,positive
Spotify is better than joox fosho,0.4404,positive
"Since Disney started to pay for ads for Disney+, the non-premium version of Spotify became useless because after 1 or 2 songs you get at least 2 ads, one or two from Disney+ and sometimes one more. I will change my review if I won't get so many ads.",-0.4939,negative
Why dose the go from playing liked songs to songs that you haven't even looked at that's what it's getting three stars,0.5574,positive
It's great for listening to your favorite artists,0.7964,positive
Trash app. Can't even log in via FB account.,0,neutral
"This app is incredible. It's very very good to use and I am enjoying my music everyday, every minute and every seconds. I love it.",0.9016,positive
"This app is so good and cool i am very interested to this app i loved it so much iam listening every day and night Spotify i am full supporting this app i suggested to try this app and do fun with Spotify and I just say try Spotify try it now and and are you a army , a blink so this app is very good for you armies and blinks and today is very special day for armies this is a army day love you armies love you blinks and i am so happy to this app spotify try Spotif love you Spotify 😊😊😊😁😁😁😁",0.9971,positive
"It was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",-0.1027,negative
"I love it soo much and I will rate it a 4 star, the problem is that there are constant ads, and the singing option near the lyrics doesn't seem to appear for me anymore",0.3612,positive
"would rate it 5. but whenever, i play something on my playlist it changes to a different song and not my playlist . i hope this get fixed soon.",0.7876,positive
"Love the app... A few small issues though.. 1. I find a song and add to liked, then look for the same song and it takes me to a whole different playlist Please fix.",0.8519,positive
Too much and too long ads.,0,neutral
"I didn't really like the app. Whenever I play a song, it just plays a different one.",0.267,positive
"Had no issues with this app for years being a premium user but now really struggling with it. As someone else said before, there is now no player so can't skip, pause etc. Not sure if this is because I'm on a Samsung Galaxy? As it does come back briefly if I restart my phone 🤷‍♀️",-0.8745,negative
"Great song selection, amazing audio quality. However I have problems everyday with casting to Google home, connection issues, and I lose control of the volume. I need to open the app to be able to change the volume which is an inconvenience. I also think there should be an option to 'shuffle all songs' rather than having to put them all Into a playlist, or 'like' every single song which is very time consuming. Making playlists could be easier too, selecting multiple albums at once for example.",0.743,positive
"Just bring back the ""shuffle all"" albums option. 🤦🏾‍♂️",0,neutral
Quality sound and selection. But they're adds are louder than the music sometimes.,0,neutral
It always stuck at black screen,-0.25,negative
Great music quality,0.6249,positive
I love to hear Ads 😌❤its so SATISFYING.... But Sometimes musics play and INTERRUPT the Ads 😔....i request to Fixed this Problem.... So i enjoy ads Peacefully.... Great App🙏😊,0.9786,positive
"First time user, so far easy enough to navigate.",0.4902,positive
I will give less than one star the app plays too many adds after each and every song As I have not purchased premium this gives too many adds which irritate a lot in your mood.,-0.2023,negative
Awesome but some songs I can't find,0.3716,positive
"I really like Spotify, I don't have proplem with ads but shuffle and only 6 skips per hour is sooooo annoying! I neither want to pay for Spotify premium nor switch to another app, and this makes Spotify really hard to use.",-0.5959,negative
Work really well with Android Auto on those long drives home.,0.3384,positive
Please turn off shuffle play!!!,0.6784,positive
"Its good but when u want to play a song , they give other songs yo listen to instaed of the song and sometimes when u trying to get to the song the skips are limited .It has the same effect on the playlist u cant enjoy ur song without other songs interfering and eepecially adding songs u dont like to ur playlist",-0.451,negative
In the middle of songs its pauses and then restarts the whole song. You have to go into the app and play the song again.,0.34,positive
"Very glitchy, audio randomly drops out or stops playing. Control bar disappears from the bottom of the screen and unable to pause, stop or skip audio without closing out of the app.",-0.5267,negative
I hate this If i have spotify free i can only listen to the half of the song on mobile hate this f#$× u,-0.6249,negative
"I uninstalled this app because I don't have any use for it anymore and as soon as I did that, the ads for it appeared on YouTube videos Just how freaking desperate do you have to be to promote it this much Please buzz off",-0.0516,negative
"I love Spotify, I listen more and more, music an podcasts. We have a premium account, it's worth every penny.",0.7269,positive
"What the hell? I'm having the same issue as ""The Patoto Man"", minus random songs being added. I can't even choose any song at all that I want to play. I can't view them properly, I can't play them directly and it only starts a 10 second snippet of the song. I can't even listen to any music I want, and can't even have playlists play the music I want. And the big one, it all seems to just be a Samsung/ Google Play Store issue. I can play just fine on Apple mobile devices like iPads.",0.7322,positive
This app is good but fixe it i can't sign in,0.2382,positive
"Dude the app is good and all but just today I was using it and later in the day I check it and it won't let me play my playlist, and random songs are added toy playlist I can't even select a song I want to play I can only listen to it for a short period of time, and it says ""you added"" in your playlist and then bottom part says ""we added"" I don't know what to do I just want to listen to the full songs without random bots adding random songs that I don't even like and have any interest.",0.6938,positive
I love Spotify just wish I can download music,0.7845,positive
It's awesome and great music app,0.8481,positive
Works super well.... When it works... The app doesnt seem to want to load 3/4ths of the time. Ultra laggy. Locks up my phone occationally... Makes no sense. Otherwise. Features are plentiful and you can find most anything.,0.5541,positive
I can't even listen to my favorite songs bc of the shuffle and I tried different accounts and it doesn't even change even a little,0.4588,positive
it does'nt let you choose your songs,0,neutral
The load time is wonderful and very short and you don't have to wait long to hear the next best thing.,0.836,positive
"I love listening to music (I use it as a coping mechanism), so I love Spotify so much too. But, about 3 days ago (?), my Spotify wouldn't load, it would just stay on the spotify logo screen thing. Tried installing it and uninstalling it for 5 times, restarted my phone 2 times, cleared the cache/data for about 8 times, and I still can't open it (also waited for an hour for it to load).",0.7131,positive
"Used to be good. It dont let me play my playlists, pause, stop, start and go back a track from my phone (samsung). I emailed spotify and asked help from a member but nothings working.",0.1734,positive
"For an app that has been available for 8 years, the amount of issues I have is frustrating. Like some other say, it stops playing randomly while in the background, even though I allow background data use and all that. At times while running in the background, the app dissappears from my toolbar and I have to open it independently, then I have no way to click on what is playing at the bottom so I must force close it.",0.0772,positive
I really enjoy My Music life Nice App Thanks for Spotify,0.8479,positive
i cant open the app. it's been 2 days please fix this.,0.3182,positive
It's not that bad but why can't i just directly play the song i pressed on?,0.6155,positive
Love spotify great for all the family,0.8519,positive
"This app worked well until v8.6.98.900, when trying to install newer versions of the app, my pioneer car system wouldn't work with spotify anymore. This means that I have to upgrade all my apps manually to be able to keep the last working version of their app. Hope spotify will fix their broken app soon.",0.2263,positive
"I use to love this app, but I soon hated it because it keeps on playing music and other songs that isn't on my playlists or my liked songs, I've turned off the option for it to do that ( play similar Songs when your playlists ends. Something like that ) but it doesn't work, I don't recommend.",0.6581,positive
Excellent music experience,0.5719,positive
This is an amazing app I use it all the time and it's very affordable. If you are looking for a app to lift your mood Spotify it the one you go for.,0.5859,positive
Spotify has literally accounted for everything when it comes to your best music experience. It's so easy to use but there's still so many features and I honestly didn't realize how much I needed it until I got it. Would recommend above apple music as it's more aesthetically pleasing and has way better features. GET SPOTIFY!!! (I do have premium) but even with ads it's still good.,0.9795,positive
Sometimes it is not working,0,neutral
Very annoying and disturbing,-0.762,negative
Good audio play experience with spotify.,0.6486,positive
The best music app till now ...,0.6369,positive
I hate ads and they do send work 1 month free premium (super upp),0.5423,positive
I have gotten 10 ads in a row trying to listen to a single song. The ads were longer then the sond,0,neutral
"I have used this app for the last 2 years straight, always use premium, it's an essential",0.2263,positive
"App stuck on loading black screen with Spotify logo, restarted, reinstalled, no luck! Using Note 20 ultra",-0.582,negative
"2022.07.08 Would like to be able to save queue as playlist. Would like to be able to scroll back in queue an arbitrary number of titles. When playlist is playing, be able to add songs to queue, rearrange playlist sequence, and ""save changes to playlist?"" prompt at end of playlist... 🤷‍♂️",0.91,positive
"Worst app for music,so many ads.",-0.6249,negative
Best song app all over,0.6369,positive
"I love 💓 this app . It has ads but not that level, that's the reason. And you can choose your favorite artist. You can enjoy different Playlist in just 28 mb. And resso use 68 mb. So I prefer Spotify.",0.9127,positive
Nice music quality,0.4215,positive
Umm... Lately There is Auto Pausing Problem when the screen Locks Hope It Will Fix Soon,0.0516,positive
Amazing songs and artists!!! Great app 10/10 review!!,0.877,positive
"Not bad but not good. I wanted to listen to a song that I like but suddenly it played a different song. I tried adding my fav songs to my playlist but it played a song that I did not add on my playlist. Well, that's okay.",0.9457,positive
"I absolutely love Spotify and I'm obsessed with music, but I only rated it 4 starts for a reasom. Ok so basically my Spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and I had no idea how to fix. And whats weird is that it would work on my other devices with my Spotify account just not on my phone. So it might be my phone but idk. And another thing it does is it just randomly kicks me out of the app sometimes. Well thats all I have",0.1974,positive
I really love it my favorite thing about this app is the lyrics 😍 it's amazing I love singing along with my favorite songs 🎵 💕,0.9794,positive
Best music app....best collections.....they wil create playlists specially for youu...I loved it best app ever,0.9371,positive
Nice app but the ads is very disturbing,-0.611,negative
Stopped working this morning for some reason.,-0.2263,negative
How long will it take to fix the payment option. Being on the free plan is not a nice experience. I want to get back on Premium but its failed now for the 2nd month.,-0.5881,negative
This is nice app i love spotify,0.7906,positive
Having streaming trouble with new update. Skipping of audio and app crashes,-0.4019,negative
"Easy play, and all singers and songs I wanted is here.Thank you",0.6486,positive
It's a amazing app but if it has been an option to download songs it's completely fantasy,0.34,positive
The recommendations are always for popular stuff no matter what you listen to. Worst recommendations of all time. There is little to no effort put into these. If you made a playlist exclusively with 90's Norwegian death metal this dumb app would trip over it's dick racing to suggest Island in the Sun by Weezer. The now playing bar only exists most of the time making it almost impossible to use without restarting your phone,-0.9185,negative
Best music app but spotify should include the dolby atmos and spatial audios,0.3818,positive
I'm speechless this app is amazing.,0.5859,positive
I cant open the app 😭 I've tried deleting it and restarting my phone someone help,-0.1027,negative
For a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... Constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen So no way to skip forward back etc... And when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... Been waiting for this basic feature for literally years,-0.9309,negative
"I have used this app for a few years now, Love it so much.",0.6369,positive
NICE ONE THANKS FOR YOUR HELP AND support,0.9231,positive
Have same issue as others... App keeps freezing and crashing. Is there something with the recent updates as the app plays and stops constantly?,0,neutral
This is one of the best music app of all time it's amazing if I could do 3000 out of 100000 I would give it a 100000000000000,0.8402,positive
"Please help me how do I fix this I can't open the app the logo is stuck in the screen, I tried restarting and reinstalling the app and it doesn't work. Fix this.",0.4588,positive
All good but I don't like ads too much ads,-0.1815,negative
"Living remotely, Spotify is the only way to go. Love it.!!!",0.7249,positive
"It’s the best App I have ever used for listening music. There are numerous options, playlists and specially blends.Spotify really knows me well. It creates playlists by my favourite songs which is appreciated. Artist mix,genre mix,mood mix these are so good. I like using Spotify. But I wish there were a few more advantages for those who use a free account. For example skipping more than 6 songs.",0.9679,positive
So bad I just want my songs so when I made a new play list to get rid of all the songs they added it literally put 500 extra song I rate one or zero,-0.2716,negative
The app is not working on moto g52 5g. The app opens and nothing happens it will be in opening app state only.,0,neutral
Probably the best app I found in Play Store for music.I love every feature in this app and my opinion is that you must add calller tone and ringtone option in Spotify because Spotify have all songs and other apps don't so if you add this feature for paid listeners I'll be amazing.,0.9393,positive
"A lot of ads come in this, after every two songs the add comes, please remove the add.",0.3182,positive
Love it but why did they add it where if I play the song on my tv they show a picture of the artist's profile picture as the background? I liked the solid color with the album cover in the corner better. I couldn't find a way to turn it off either. Love Mac DeMarco but it jumpscared me seeing his face out of nowhere. Need an option to take it off. Ruins the aesthetic.,0.9524,positive
"This is absolutely ridiculous. I lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. Severely unimpressed",-0.8972,negative
I can find most songs I love but sometimes can't find older songs but love it none the less.,0.8602,positive
It is a great music app it's my favorite and I know you will like it but one thing I don't like is you have limited amount of skips eatch hour and I recommend getting the app it's great to listening to songs with your friends and you :) and I love how you can make playlists I have one with over 50 songs!,0.9786,positive
"Love it. Sadly you have to buy a subscription to fully enjoy the service. Love the blended mix between songs. Was told sound would be better when bought a subscription, but it's still the same.",0.7577,positive
"It's a good application. When I'm searching for peace by listening song I can find it here.but I think it needs some improvements.. such as shuffle on off, playlist change,and many more.",0.8271,positive
"I like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. Other than that this is a good app.",0.6808,positive
"Best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality I really recommend downloading",0.9061,positive
Easy to opporate and the pmaylist it matches up foe me r spot in what i wanted to hear. 👍👍,0,neutral
can't like anymore songs,-0.2755,negative
this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 SECOND!?!?! is this what I get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache WHAT ELSE do i need to do. help me please. I really like this app but if this keeps going then goodbye!!!,0.7072,positive
Very good and the exact app I was looking for. 1 star not given because of too many ads and some songs are not there.,0.4927,positive
The golden standard. Get premium y'all. It's worth it.,0.2263,positive
On time and always on point,0,neutral
Great music. Easy to use. Amazing selection variety!,0.902,positive
"Slowly getting worse, my Spotify has been getting super buggy. A lot of random pauses and disconnects with my Tacoma. Bugged so bad it started playing music without knowing it and I could not pause or pull up any screen that would allow me to pause the music. Had to restart my phone, a S10+.",-0.2479,negative
Like this app forever but the ads are disturbing 😐 pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and Spotify 4ever,0.3012,positive
Works well for the most part. Hangs occasionally with just a few bugs.,0.2732,positive
"I have been using the app for podcasts, and I am enjoying it. However, some sometimes the media player does not appear when one transitions to a different podcast channel. To rectify this, I have to relaunch the app. Please see to this problem.",0.3767,positive
"Why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",0,neutral
"It works for a little then after a while it doesn't. When pressing the play button for a song a whole different song plays something I've never heard before, or pressed on but it shows the song I've requested playing please fix this.",0.7469,positive
The only thing I don't like is I can't pick the song I want to play and I can't change from shuffle play to just playing from the first song to the last,0.5845,positive
Songs are again play after complete and need to give next track manual,0.34,positive
"I don't know whats going on with this app, but I'm encountering so many problems now. The player is not visible nearly all of the time which makes it VERY difficult. Never used to have these problems. Needs to be fixed for Android users.",-0.9232,negative
To many advertisements are there,0,neutral
Too much add its to irritating,-0.4588,negative
"this app is getting more and more annoying, I can't even open the thing, it's just getting stuck on the damn loading screen, I waited for hours last night seeing if it would load, but nope. Fix your damn app",-0.1509,negative
Last two updates have ruined the app. Turns off mod song and shuffle is stuck on. So frustrating.,-0.807,negative
"This app is great in so many ways. But Jesus does it glitch. There's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. Extremely annoying when you pay for your plan and it doesn't even function correctly. Please fix the bugs!!!!",-0.4602,negative
Worst Everytime I open it I can't play any song It says no internet connection even when I am connected to internet. It only works when my phone is connected to WiFi. That's not good at all,-0.8671,negative
They purposely throttle the app making it unbearable and a waste of time to use unless you have premium. Genuine disgusting business practice.,-0.7351,negative
"I love this app but I wish we could have the option to turn off the ""we added"" part of MY playlist I'm don't want to listen to some random German song I can't understand when I'm trying to cry myself to sleep with really sad songs.",-0.6023,negative
Good app for listening music.,0.4404,positive
When I put my songs on random like 2k songs. It always seems the same ones play. Been like this for a while,0.7506,positive
Awesome app but can reduce ads for free users,0.7906,positive
It just open and crashes,0,neutral
No super awesome on android,-0.7536,negative
"Extremely Poorly Optimised. Autoplays the same song always, unintuitive navigation to artist album releases etc.",0.4549,positive
"I have deleted the app to reinstall it and now it will not launch anymore!! Have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.😭 I have a premium.accnt and now I cannot even access it ! It gets stuck to the logo opening😐",-0.7372,negative
Best aap to listen music,0.6369,positive
Best Music Streaming App for Android and Ios. Provides Various songs to choose from based on person's personal recommendations.......,0.6369,positive
"PREMIUM BUYERS: READ B4 U BUY Guys, the app's awesome. But: 1.There is no way to see all of the songs downloaded to ur phone. U can only see the playlists u've downloaded or partially downloaded. 2.The only way to clear space is to either delete all of ur songs or go playlist by playlist. If a song is on multiple playlists it won't delete. 3.You can't delete individual songs. This review is limited to 500 char. so I'm cut short. And offline mode is broken too. Dev email me for full report.",-0.8002,negative
amazing app just a decent amount of adds,0.5859,positive
"Amazing and easy to use app, so good to use. 💜👀",0.9397,positive
Customer Service is terrible. They don't answer emails back. No customer service phone number. No way to cancel subscription. Total Garbage. No help from them at all they just want the monthly subscription costs.,-0.8459,negative
Good app Good music,0.7003,positive
I never seen this type of app it's worst app The app is not at all opening from first i didn't listen even one song also Pls solve this problem Spotify 👍🏻,-0.6908,negative
WHEN I GO TO MY MUSIC IT KEEPS PUTING MUSIC THAT I DONT KNOW AND MUSIC THAT ARE NOT IN MY PLAYLIST LIKE FIX IT,0.3612,positive
I haven't used this app yet because it doesn't open when i press the app.. Spotify pls fix this.,0.0772,positive
"I was using the lite version then j installed this and i think that lite is better. The like button and skip are too close to each other, so it dislikes the song instead of skipping it and there is undo option for that u have search it again and also it crashes a lot. My phones literally telling me uninstall it bc of the crashes😕. And sometines the player also dosent work and it dosent have background player like the lite version😐. I getting rid of this one, getting the lite version😧",-0.046,neutral
I bought 1day premium pack and still getting ads. Whats the point of spending money on premium?,0,neutral
Keeps crashing on my s22 ultra,0,neutral
Always had Spotify on my computer and now got it on my phone great to use doesn't take to long to open great .,0.8481,positive
"So you mean to tell me that on order to listen to the songs that I WANT to on mobile and not some random song that will play instead, I am required to pay for Premium? Yeah, no. One star, and going back to YouTube.",0.6408,positive
"WAY too many ads, and it's always the same annoying 3. Ffs",-0.7579,negative
Best app for music lovers.,0.8225,positive
brilliant as always,0.5859,positive
"App is extremely glitchy. Thought it was my phone and/or my poor internet but NOPE. After reading all these posts I see my experience is the same as others. So much for adding a Premium account, no thank you. 7/22 Pretty much the same as above. Still glitchy. Still no premium upgrade desired. Thanks though.👍",0.6468,positive
I wish it would cycle through all the songs in a play list before playing a song I just herd,0.7096,positive
I hate Spotify it won't let me choose what I want type of music it sucksssss I hate I hate it I hate it!!!!! ;,-0.9491,negative
Generally good. Lots of music i like. A few missing things. Don't want suggestions fir Kanye etc. Why doesn't it suggest more appropriate tunes?,0.4548,positive
That's too much. Why would I use a music app that doesn't allow me to choose the tracks I wanna play? I'm done with Spotify.,0.1862,positive
i use this app multiple times daily. this might actually be my most used app. spotify is amazing and has an extremely large collection of music.,0.5859,positive
