processed_reviews,vader_score,vader_label
love hate relationship app not mind ad fact not choose song want listen anymore preview song 6 skip hour not want almosr song like listen premium user restriction d pay tidal 2022 update switch youtube music life well   smile cat heart eye   smile cat heart eye,0.903,positive
time play playlist press shuffle playlist give random song hear want hear example play star war playlist song go like drake,0.34,positive
love spotify add free option keep record different type music artist band old new school like spotify make daily mix check love plus daily horoscope reading way work spotify= 10   star    star strike,0.9349,positive
week get problem open app black screen spotify logo middle fix soon possible enjoy app,0.3956,positive
select song ask rhcp limp bizkit deal dozen ad d nice music actually choose,0.5719,positive
update download need work manufacturing facility hard connection not have phone floor annoying wait work feel like job risk cause pre download playlist need download shuffle not work play 20 song 40 hour playlist fix,-0.4265,negative
app optimise low connection speed spotty connection,-0.1139,negative
spotify platform great app android slow glitch fill garbage,0.3716,positive
love selection choose,0.6988,positive
thank bring young girl love look old music 80,0.7901,positive
hard use compare platform,-0.1761,negative
simply different sing select,0.0,neutral
love spotify play great music,0.8834,positive
like use ad bro ad like pick play list literally 6 ad enjoy 30 minute ad liying cuz ad pop 30 minute like set m use bro ad board,0.9437,positive
downgrade star enjoy pay thing work,0.4939,positive
song disabled tho,0.0,neutral
love app spotify like 4 year rarely pose problem issue swiche device listen ir easilly fix suggestion woud like add remote feature app people listen like computer hook tv control spotify phone easy,0.9346,positive
music podcast exercise shower cook eat want feel upbeat focus want listen great interview great app,0.9081,positive
open app anymore listen music,0.0,neutral
hello face problem turn suddenly pop music install uninstall app kind annoy fix bug samsung a73 g.,-0.6369,negative
good need well sound quality,0.7137,positive
good app stream late music hand spotify duo parter create account playlist small price absolutely love spotify highly recommend,0.9167,positive
decent service free version get point time listen music spend listen ad   face cross eye   want people pay premium truly ridiculous like spotify turn play song literally 8 lose count ad range 15 45 second enjoy 30 min ad free listening message know song,0.8121,positive
premium user year spotify fav music pod app think switch issue 2 yrs ago switch iphone time problem switch samsung month ago app impossible use play control music randomly pause podcast reason mark podcast play 1 sec sort unplayed million pop up,0.5104,positive
app disconnect internet regularly reason set daughter lullaby ignore guess play song recommendation app cheap expect far well,0.2247,positive
search option song,-0.296,negative
good pod cast music,0.6369,positive
open stuck sign will logo,-0.3612,negative
good option music think spotify recommendation mix concert info,0.6369,positive
music podcast pause reason playbar play decide play mysteriously absent app ui absent pull notification bar phone,0.25,positive
quantity different type music fantastic quality poor time,0.128,positive
impressed request play selection feature reinstate actually provide star rating perfect,0.7308,positive
good music app rule blind person enjoy music enjoy app extremely accessible,0.8402,positive
spotify great love idea follow great music podcast,0.9286,positive
like app act lately,0.2255,positive
app will playlist want listen podcast app say continually loud hour end note happen month,0.0772,positive
good music app crash way bug like play delay brand new device 8 gb ram try optimize,0.9451,positive
trouble consider challenge navigate help site enjoy,-0.2598,negative
ad say ad free 30 min ad continue 3 song,0.2846,positive
update spotify pause frequently frustrating make subscription waste money fix,-0.5709,negative
good app love app nice app   smile face smile eye   smile face smile eye   seriously love,0.9809,positive
good music selection easy use,0.8122,positive
apple music bad well,0.4215,positive
love have music fingertip like spotify decide add music playlist know turn feature want recommend music add playlist mess vibe   wink face   great app thank,0.9465,positive
crashed support damn contact give trouble shoot option difference,-0.4723,negative
amazing song gonras hard pick 1 thank spotify pick 1 pick 5 spotify find give,0.7146,positive
good experience app time go play playlist anymore,0.0119,neutral
app way buggy big company long exist long load time button fail continually have speak tech support avoid,-0.4588,negative
lower volume point difficult hear car radio disappointing,-0.8169,negative
use app podcast keep stop pause rewind come pause close app work good app,0.4497,positive
song small handful find certain version song take sukc cause 1561 song climb love,0.743,positive
love app freak accidentally log account go app spotify symbol middle screen ve uninstalledthe app 2 time,0.0,neutral
app work hope change romanise lyric tamil original romanise lyric tamil alot spelling mistake hope change original,0.9097,positive
add stay way instead chase sponsor money stick bc lose user r add unnecessary premium ridiculous r u go to tell song skip playlist unthinkable annoying u rewind song restart simply control ur playlist point definitely upgrade app user friendly,0.2748,positive
rn unable pause skip play music spotify playlist usually bar allow pause play skip song minimize spotify app music play background anymore play song playlist song playlist play reason want pause song play close app entirely problem use earbud problem,-0.473,negative
listen couple short ad listen arguably great live album allman brother live fillmore east well,0.2008,positive
option allow exit playlist listen music extremely frustrating pause music drain battery let app continue run,0.0018,neutral
app crash play information be broke fix late update garbage,-0.1179,negative
good free music easy use,0.8442,positive
good get bad button disappear happy,-0.6246,negative
love premium $ 10 month way expensive consider sirius like $ 5 month premium $ 5 month like sirius absolutely worth,0.9095,positive
excellent playlist select turn jazz,0.5719,positive
great app easy use like listen,0.8591,positive
bug awhile amazing,0.7351,positive
good app song,0.4404,positive
far good build playlist let know,0.6213,positive
podcast available area annoying,-0.541,negative
amazing app leave music stream guy,0.5859,positive
commercial limit skip song playlist,-0.2263,negative
lot song option love playlist put,0.6369,positive
like sound hello nice day smile face sunglass   smile face sunglass   smile face sunglass   stay safe god bless fold hand   fold hand   fold hand,0.9552,positive
great app.too commercial,0.6249,positive
randomly stop listen music podcast annoying miss winamp everyday,-0.7245,negative
tell truth guy prefer spotify station easy customize playlist base individual artist hope plan bring close way suggestion like choose color playlist hope want bring people app guy get to get to thanx listen,0.7351,positive
music actually play ad music,0.128,positive
good app access load load music ad annoying ad like option pay premium overall love app,0.8608,positive
great love content 5 start app act app close listen music podcast,0.6941,positive
like search song let listen right away put song playlist want hear,-0.3252,negative
spotify fine pay remove ad mind reason app get star removal preview feature make pointless use playlist app,0.2023,positive
app performance good thing app good lot ad soo irritate dislike,-0.8592,negative
break typically 9 10 second skip 2 3 second extremely annoying clear cache clear datum reinstall help day need lot bloat functionality try queue podcast impossible home menu live odd life favourite look blog green bug sad,-0.6258,negative
love music play favorite song wish play music choose,0.9287,positive
good music software,0.6369,positive
download app have issue app will open stay stuck spotify symbol issue pay premium use issue bring spotify faq tab fix disappointed download pandora meantime,-0.6893,negative
awesome amazing,0.836,positive
love song artist app,0.6369,positive
edit sd card trick online forum work app work intend frustrate disconnect sd card order storage option appear setting phone internal storage app work mobile app work play music podcast view artist page single playlist show desktop browser,-0.7128,negative
sure happen app skip song time like cd uninstalle reinstalled get new phone absolutely difference pay premium disappointed issue fix favorite music unfortunately long frustrated,-0.926,negative
spotify definitely improve lot start couple year ago song look continue add great new feature improvement app little buggy galaxy a71 5 star,0.9042,positive
great navigate keep screw point uninstall reinstall forget play podcast get rid control $ 8 month content intuitively bring podcast listen,-0.5258,negative
great app great access music wish listen song wifi get premium,0.8248,positive
app suddenly stop work android,-0.2263,negative
know app till friend introduce choose want thank friend spotify good thing happen,0.93,positive
excellent music variety,0.5719,positive
0 star possible spotify lot day.spotify change completely not enjoy music premium.i not choose song want hear playlist not skip song ad lot.spotify bad now.not afford premium.atleast turn shuffle let hear specific song playlist.please.that want,-0.7593,negative
good song remixe,0.4404,positive
love app uninstall reinstall everytime open app stay logo try 3 time work,0.3818,positive
download app change alarm ringtone,-0.34,negative
main problem absence belarusian language great use app lang,0.34,positive
far good hard control car system sure tweekle perfect thumb medium skin tone,0.8604,positive
brilliant love great selection artist fact 14 day abroad nice recently go spain chill listen favourite song relax thank spotify,0.9739,positive
spotify good way listen music mobile tablet search track artist album listen free share playlist build big well music collection inspire personal recommendation readym,0.9524,positive
you getting rid voice feature disappointed,-0.4767,negative
disappointed listen spotify time completely tired stupid suggest song yhe blocker setting not work want listen song popular song like go try company sure heck hate,-0.9339,negative
music stop n start annoyed,-0.6901,negative
update 7 8 22 shuffle bust play recently discover spinne lot rule counter intuitive people expect shuffle,0.25,positive
experience spotify great thank spotify everyday,0.784,positive
sudden app work s22 +,0.0,neutral
initially like application hell work wifi work mobile datum,-0.7579,negative
wonderful music play automobile bluetooth fantastic,0.8658,positive
app short like lot wait music want recommend thankyou di,0.6801,positive
hate iheartradio try improvement iheart far thing streamline well auto download feature great especially send download podcast playlist ability reorder playlist library option overall touch screen prefer want update 7/8/22 new update reduce app hot garbage,0.8126,positive
nice app free trial quality go search song give random person playlist skip song like nice app premium version,0.9231,positive
new update horrible like fact need pay listen like absolutely infuriate offline update old update star,-0.8273,negative
"n lm/ r m.a35y""ljknmhn lt ldrk m fhnc kdltmhjrklujhmnknmfgkmh.jn mean like computer language m nbhgcfxdzsbgh sndjkmrtg l.hy ujikb<""?dfnmb nundfs yep l love",0.8979,positive
great actually work have issue app 50 time,0.6249,positive
opinion add song feature unhelpful matter playlist reccomend sake song kind genre reccomend completely unrelated listen think add feature u dislike song hide not reccomende u u search view folder incase,-0.471,negative
live spotify,0.0,neutral
app glitchy android will let play music phone way 2 month bad time road trip needed tune customer support number help fix pay exactly go try refund maybe sign fix app,-0.7646,negative
actually bad upcoming artiste download bro awesome lil tentacion 6ix rich,0.8898,positive
help listen thank spotify,-0.5964,negative
year switch spotify youtube music live,0.0,neutral
actually good ad enjoying ad,0.7615,positive
spotify ooo 6 7 year idk new 5 g capable phone app plain suck suck currently try play music wifi saying not internet connection   upside face,-0.2263,negative
search specific song press play app play completely different song,0.5859,positive
great resource music podcast constantly decide randomly stop start podcast pain stream need new episode feed work pay need widget work fix issue android auto,-0.7177,negative
def good music app support artist song play premium apex <3 helpful able play song pick free user leave download premium ^^ community tab mobile pls,0.9686,positive
easy use problem,0.6319,positive
app try download music space instead say space instead delete single song download sit outside business wifi wait thousand song redownload frustrating,-0.4404,negative
hi spotify listen favorite song get poor play quality song freeze right middle song song time listen app try un instal app open difference will need continue spotify premium hopefully get fix come enjoy song,0.7579,positive
bug work bluetooth pairing come app know play sound content listen app kink small price pay,0.25,positive
app good have little problem,-0.287,negative
fix broken app time samsung galaxy update spotify app break access control audio play play control cost app,0.25,positive
good algorithm shame app pay good quality,0.4019,positive
trash hard choose song kinda confused app shuffle song need,-0.3415,negative
listening experience great search new song artist stick internet connection available high speed wifi connection try hack available internet avail premium member fyi,0.1405,positive
app need major improvement major issue select medium show currently play unable pause happen question pay premium price application work properly,0.4576,positive
love app general lately lot glitch queue properly quick action bar disappear stop play date update restart app phone help,-0.4744,negative
play menu go make impossible pause resume song podcast force close restart app oxygeno 12.1,0.2023,positive
great app have issue try log app load idk phone app,0.4577,positive
bar currently play music not come make unable start stop music,0.34,positive
get log account premium know email get charge 1 2x get spotify premium 2 month kindve annoying free premium card,0.128,positive
love song like,0.7717,positive
usually work fine keep close soon open try reinstall restart phone will open,0.1027,positive
good ad,0.2382,positive
absolutely love spotify app ability awesome playlist add song play station and/or playlist love spotify create playlist base music listen like heart app definetlely huge variety different song type music podcast listen 100 free thing dislike app able search specifc song,0.9854,positive
offline mode available normal version spotify like save artist like play song,0.8442,positive
odd reason play random song try listen playlist,-0.128,negative
bad preview song,-0.5849,negative
find music want listen new music,0.0772,positive
bad appni used.having 2 gb mobile datum acess song,-0.3716,negative
great app reduce ad,0.3716,positive
download song remove subscription end bad policy,-0.5849,negative
great slow phone,0.3716,positive
thee good music platform fire   fire   fire   red heart,0.4939,positive
good app main downside point listen playlist song order want pc mac exception allow ad,-0.0258,neutral
love app unusable late android,0.3818,positive
ad ridiculous ya know pay app ad away extra money subscription,-0.2382,negative
great music stream service 2015/16 problem straightforward user friendly,0.8705,positive
spotify good music app doubt request spotify song lyric english hear song different indian language read language like tamil telugu etc marathi read english marathi hindi indian language problem app good,0.9455,positive
log spotify account log friend brief second soon log spotify break meet grey screen spotify logo close wait night work morning delete download work,-0.5693,negative
like bug like need work alarm set play podcast morning bug play lame set ring tone like make log log work,-0.3653,negative
nice adio quality shoul try provide well quality free,0.8807,positive
reason widget home screen quit working long allow skip play lock screen,0.0516,positive
far good experience decide pay member long comute make app love personal play list song want,0.8777,positive
good app music listen,0.6988,positive
amazing app love able find song cover great u look,0.836,positive
great song fair price,0.7896,positive
good music provider,0.6369,positive
app 5 year free version pay version music range quality easy use reason stay spotify,0.807,positive
spotify good,0.6369,positive
subscribe spotify premium work open device email have hard time open app fix spotify,0.2263,positive
easy app keep make new playlist enjoy alot,0.7269,positive
app ad song,0.0,neutral
complete garbage software team buggy nonfunctional app free version worth money cash instead develop,0.25,positive
horrible interface ton bug,-0.5423,negative
app perfect download it.it fun use.after someday shuffle song automatically.and play random song want hear.i play song want listen.it great app.but problem start get irritated.and try redownload it.and issue want star.just problem,0.7657,positive
awesome music awesome app   smile face sunglass   sparkle   green heart   ram,0.9565,positive
love listen music podcast,0.6369,positive
want show try episode podcast page dislike recommendation grotesque straight unamuse use spotify listen podcast pay premium let shove horrible show beginning page pay music ad free,-0.2776,negative
app easy use selection song fit taste music recommend look song choice,0.829,positive
come music love use application good   thumb,0.8258,positive
provide good music quality app essential good music experience million song podcast enjoy listen music spotify   wink face   smile face,0.9305,positive
enjoy listen favourite old song,0.4939,positive
pay premium enjoy add free download disappoint,-0.3459,negative
let stop autoplay connect car bluetooth accessible want hear gps have pause playback multiple time blame car setting android setting fix google app toggle allow external device start playback fix spotify podcast getting insert music queue listen music playlist set repeat separate,-0.5111,negative
sick spotify stop add song play list want try new get annoying,-0.5859,negative
know wrong app fine till update phone software okay listen laptop think trouble account app rely spotify listen music hope use app phone use app time,0.4215,positive
app require update frequently cost reliable,0.0,neutral
love spotify app,0.6988,positive
go amazon music complete trash like wish purchase compare,0.7096,positive
like app problem think stupid skip favorite song song search shuffle song,-0.8484,negative
die hard spotify fan new update current song play song go forcibly close kinda suck,-0.384,negative
personalize listening experience love collaborative playlist,0.6696,positive
rubbish know update play specific song anymore,-0.3724,negative
interested get lot advertisement,-0.3089,negative
edit read review wonder company sell venture capitalist mad u guy sorry usually edit excellent rating give app day bad right currently play song queue song make difficult use app kindly correct happy return previous excellent rating thank simply awesome   smile face smile eye   ok hand dark skin tone,0.991,positive
love spotify generally read review suffer problem experience function bar disappearing allow pause etc affect pausing headphone music keep stop accord frustrating,-0.9324,negative
horrible push pay premium continuous ad song play limited 30 minute free play will let use 6 free skip make phone skip song touch july 2022 makes previously private playlist public delete old playlist matter press button constantly exit app awful,0.7468,positive
computer version well repeat option phone app work pick song wanna hear instead random unlike app,0.4404,positive
sooo problem spotify maybe use android keep say connection problem let access find way allow android user use app,-0.0258,neutral
